split	question_id	YN_Acc	F_Strict	F_Lenient	F_MRR	L_P	L_R	L_F1	YN_macroF1	YN_F1_yes	YN_F1_no
13B1_golden_answers	67d3434d18b1e36f2e000002	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc89fa81b102733300000c	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d4354518b1e36f2e000010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d74a9b18b1e36f2e00003a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d41b8518b1e36f2e00000d	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67cdbe0c81b1027333000019	0.0	0.0	0.0	0.0	0.5	0.4	0.4444444444444445	NA	NA	NA
13B1_golden_answers	67d496ed18b1e36f2e000019	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d6bf9a18b1e36f2e000023	0.0	0.0	0.0	0.0	0.1111111111111111	1.0	0.19999999999999998	NA	NA	NA
13B1_golden_answers	67c7392981b1027333000001	0.0	0.0	0.0	0.0	0.5	1.0	0.6666666666666666	NA	NA	NA
13B1_golden_answers	67d34ad518b1e36f2e000005	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67cc9e6381b1027333000016	0.0	0.0	0.0	0.0	0.25	0.2	0.22222222222222224	NA	NA	NA
13B1_golden_answers	67d7fe1718b1e36f2e000043	0.0	0.0	1.0	0.5	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67da131f18b1e36f2e000053	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d45d5818b1e36f2e000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cde99581b102733300001f	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d6bda918b1e36f2e000021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d7506e18b1e36f2e00003f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cec6e781b1027333000021	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B1_golden_answers	67d721d118b1e36f2e000031	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67da0c0f18b1e36f2e000052	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d486e118b1e36f2e000015	0.0	0.0	0.0	0.0	0.3333333333333333	0.2	0.25	NA	NA	NA
13B1_golden_answers	67cc9bef81b1027333000013	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d430f918b1e36f2e00000f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc9ca681b1027333000014	0.0	0.0	0.0	0.0	0.14285714285714285	0.2	0.16666666666666666	NA	NA	NA
13B1_golden_answers	67d48f6c18b1e36f2e000017	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cf221a81b1027333000022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d6c1bb18b1e36f2e000029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc94f681b102733300000e	0.0	0.0	0.0	0.0	0.13043478260869565	0.2727272727272727	0.1764705882352941	NA	NA	NA
13B1_golden_answers	67d34e2518b1e36f2e000006	0.0	0.0	0.0	0.0	0.3	0.75	0.4285714285714285	NA	NA	NA
13B1_golden_answers	67cc960381b102733300000f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d751e418b1e36f2e000040	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc97c481b1027333000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d6b4e218b1e36f2e00001e	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d4161318b1e36f2e00000a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67c9e84181b1027333000008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d7203018b1e36f2e00002d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d497c418b1e36f2e00001a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc826c81b102733300000b	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B1_golden_answers	67d352e918b1e36f2e000009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67cc9d4c81b1027333000015	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B1_golden_answers	67d81c7218b1e36f2e00004d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d4903418b1e36f2e000018	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d7219018b1e36f2e000030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d74dd718b1e36f2e00003d	0.0	0.0	0.0	0.0	0.6666666666666666	0.8	0.7272727272727272	NA	NA	NA
13B1_golden_answers	67cdbdb981b1027333000018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d7228818b1e36f2e000034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67c9e75881b1027333000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B1_golden_answers	67d6c10618b1e36f2e000027	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B2_golden_answers	67dedd6818b1e36f2e000061	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6bf8818b1e36f2e0000c5	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e1356018b1e36f2e000070	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e28ded18b1e36f2e000080	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eaf29c18b1e36f2e0000e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6cf7218b1e36f2e0000d1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B2_golden_answers	67e5530418b1e36f2e0000aa	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67e0533418b1e36f2e000069	0.0	0.0	0.0	0.0	0.3333333333333333	0.5	0.4	NA	NA	NA
13B2_golden_answers	67e40c0f18b1e36f2e0000a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb822e18b1e36f2e0000f1	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67df18f518b1e36f2e000064	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B2_golden_answers	67e2abdf18b1e36f2e000089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb70ee18b1e36f2e0000eb	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B2_golden_answers	67e7df6118b1e36f2e0000d8	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6c4dd18b1e36f2e0000ca	0.0	0.0	0.0	0.0	0.6666666666666666	1.0	0.8	NA	NA	NA
13B2_golden_answers	67e85c4318b1e36f2e0000d9	0.0	0.0	0.0	0.0	1.0	0.42857142857142855	0.6	NA	NA	NA
13B2_golden_answers	67e270d318b1e36f2e000075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb6ea518b1e36f2e0000e9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67dc452018b1e36f2e00005a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67e6c2fa18b1e36f2e0000c8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B2_golden_answers	67cf3f6481b1027333000025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e2b8a818b1e36f2e000091	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67eb713518b1e36f2e0000ed	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67e7db2918b1e36f2e0000d6	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6c3f918b1e36f2e0000c9	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B2_golden_answers	67decf2a18b1e36f2e00005c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e2b26318b1e36f2e00008c	0.0	0.0	0.0	0.0	0.6666666666666666	0.5	0.5714285714285715	NA	NA	NA
13B2_golden_answers	67df1a1d18b1e36f2e000065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6be3118b1e36f2e0000c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb569718b1e36f2e0000e8	0.0	0.0	0.0	0.0	0.4	0.4	0.4000000000000001	NA	NA	NA
13B2_golden_answers	67e6c9d518b1e36f2e0000cd	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6c6fa18b1e36f2e0000cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e014c918b1e36f2e000068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb817c18b1e36f2e0000f0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67dede2918b1e36f2e000062	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e2849218b1e36f2e00007a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eaf28f18b1e36f2e0000df	0.0	0.0	0.0	0.0	0.5714285714285714	0.5	0.5333333333333333	NA	NA	NA
13B2_golden_answers	67e2944218b1e36f2e000083	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e6d06918b1e36f2e0000d2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67e40a2418b1e36f2e0000a1	0.0	0.0	0.0	0.0	0.14285714285714285	0.1	0.11764705882352941	NA	NA	NA
13B2_golden_answers	67eb55d818b1e36f2e0000e6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B2_golden_answers	67e69e7918b1e36f2e0000b7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67ded55318b1e36f2e00005f	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67e40e9418b1e36f2e0000a4	0.0	0.0	0.0	0.0	0.8	0.5714285714285714	0.6666666666666666	NA	NA	NA
13B2_golden_answers	67eb55f418b1e36f2e0000e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e133f118b1e36f2e00006f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e288d518b1e36f2e00007c	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67dc41a618b1e36f2e000059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0
13B2_golden_answers	67e6bdc618b1e36f2e0000c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67cf365781b1027333000023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e2c4b618b1e36f2e000095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e28a8418b1e36f2e00007d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e56b5418b1e36f2e0000ad	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e94f4418b1e36f2e0000dc	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B2_golden_answers	67e2cd8b18b1e36f2e000097	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb7cf718b1e36f2e0000ef	0.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	NA	NA	NA
13B2_golden_answers	67e2d99318b1e36f2e00009e	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B2_golden_answers	67e5712e18b1e36f2e0000b2	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67d1a0de81b102733300002a	0.0	0.0	0.0	0.0	0.25	0.18181818181818182	0.2105263157894737	NA	NA	NA
13B2_golden_answers	67e4165d18b1e36f2e0000a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0
13B2_golden_answers	67e6ba8e18b1e36f2e0000bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67e08afd18b1e36f2e00006a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B2_golden_answers	67eb86d618b1e36f2e0000f2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67e6ce6e18b1e36f2e0000cf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e12bc718b1e36f2e00006e	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67fc2f7818b1e36f2e00012c	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67d49e0c18b1e36f2e00001d	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B3_golden_answers	67e6b34318b1e36f2e0000b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e0906c18b1e36f2e00006b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fbe2f318b1e36f2e000117	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67f6f13618b1e36f2e0000ff	0.0	0.0	0.0	0.0	0.1111111111111111	0.4	0.1739130434782609	NA	NA	NA
13B3_golden_answers	67e296bc18b1e36f2e000085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e4590e18b1e36f2e0000a9	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fafe7318b1e36f2e00010b	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B3_golden_answers	67ed634018b1e36f2e0000fa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fd734e18b1e36f2e00013f	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67e6d1b518b1e36f2e0000d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e56ff018b1e36f2e0000b1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B3_golden_answers	67fc555a18b1e36f2e000131	0.0	0.0	1.0	0.5	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fbe68c18b1e36f2e00011e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67f6f14118b1e36f2e000100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67d45fbc18b1e36f2e000013	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B3_golden_answers	67e6c0f618b1e36f2e0000c7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67fbe1a118b1e36f2e000112	0.0	0.0	0.0	0.0	0.16666666666666666	0.2222222222222222	0.1904761904761905	NA	NA	NA
13B3_golden_answers	67e6b72818b1e36f2e0000bd	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B3_golden_answers	67daf71018b1e36f2e000057	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67dae2d018b1e36f2e000056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e6cd6a18b1e36f2e0000ce	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B3_golden_answers	67fbe25118b1e36f2e000115	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67fbee9818b1e36f2e000124	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67f8ea8318b1e36f2e000107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fbe3cf18b1e36f2e00011a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0
13B3_golden_answers	67d4179618b1e36f2e00000b	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	0.4444444444444444	NA	NA	NA
13B3_golden_answers	67e56c7418b1e36f2e0000ae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67faf34018b1e36f2e00010a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B3_golden_answers	67fbe3a518b1e36f2e000119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fd73dd18b1e36f2e000140	0.0	0.0	0.0	0.0	0.5454545454545454	1.0	0.7058823529411764	NA	NA	NA
13B3_golden_answers	67e7d88f18b1e36f2e0000d5	0.0	0.0	0.0	0.0	0.14285714285714285	0.3333333333333333	0.2	NA	NA	NA
13B3_golden_answers	67e5731918b1e36f2e0000b3	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B3_golden_answers	67f8f45518b1e36f2e000108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fd7a0218b1e36f2e000141	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67ed4c9018b1e36f2e0000f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0
13B3_golden_answers	67fce38c18b1e36f2e000135	0.0	0.0	0.0	0.0	0.6	0.5	0.5454545454545454	NA	NA	NA
13B3_golden_answers	67e6d27518b1e36f2e0000d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67cf3b6381b1027333000024	0.0	0.0	0.0	0.0	0.109375	0.30434782608695654	0.16091954022988506	NA	NA	NA
13B3_golden_answers	67ed57e718b1e36f2e0000f9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fd5d6e18b1e36f2e000139	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67d01cc581b1027333000026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA
13B3_golden_answers	67fbe7b818b1e36f2e00011f	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67f6f20618b1e36f2e000103	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e573f418b1e36f2e0000b4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67e3cf4318b1e36f2e0000a0	0.0	0.0	0.0	0.0	0.2	0.14285714285714285	0.16666666666666666	NA	NA	NA
13B3_golden_answers	67fce47a18b1e36f2e000136	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67e4571218b1e36f2e0000a7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67fc323818b1e36f2e00012d	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67ded64018b1e36f2e000060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67fbe49218b1e36f2e00011b	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67e6bed318b1e36f2e0000c4	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67ed650c18b1e36f2e0000fe	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B3_golden_answers	67f6f18918b1e36f2e000101	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e6c8dd18b1e36f2e0000cc	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B3_golden_answers	67fb064318b1e36f2e00010d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e2b5fb18b1e36f2e00008e	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B3_golden_answers	67eb701618b1e36f2e0000ea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67e6bd0e18b1e36f2e0000c1	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B3_golden_answers	67d03a2581b1027333000028	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B3_golden_answers	67ed575b18b1e36f2e0000f7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	67e6cf2618b1e36f2e0000d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0
13B4_golden_answers	680d5e47353a4a2e6b000005	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	680f4a68353a4a2e6b000007	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B4_golden_answers	680a083218b1e36f2e00014d	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B4_golden_answers	67e5557c18b1e36f2e0000ac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	6810fef8353a4a2e6b000016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	6810cb23353a4a2e6b000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	67fe5f0918b1e36f2e000144	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	680a079718b1e36f2e000147	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B4_golden_answers	67e5749b18b1e36f2e0000b5	0.0	0.0	0.0	0.0	1.0	1.0	1.0	NA	NA	NA
13B4_golden_answers	6810f6f0353a4a2e6b000015	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NA	1.0
13B4_golden_answers	680a237618b1e36f2e000152	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B4_golden_answers	68110110353a4a2e6b000018	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B4_golden_answers	680f4c63353a4a2e6b00000d	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	680a087218b1e36f2e00014f	0.0	0.0	0.0	0.0	0.14285714285714285	0.07692307692307693	0.1	NA	NA	NA
13B4_golden_answers	6810daad353a4a2e6b000013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA
13B4_golden_answers	6810c27b353a4a2e6b000010	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	NA
13B4_golden_answers	680a07a418b1e36f2e000148	0.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA
